12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets ETF;;;;;;;;;;;;;;;
Inception Date;Apr 07, 2003;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);1,209.00;;;;;;;;;;;;;;
Shares Outstanding;545,400,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
TATN;TATNEFT;Equity;0,20;8,28;5 381 983,00;44 549 068,48;44 549 068,48;Energy;B59BXN2;RU0009033591;Standard-Classica-Forts;Russian Federation;USD;RUB;69,71
BBRI;BANK RAKYAT INDONESIA (PERSERO);Equity;0,20;0,21;208 194 610,00;44 534 392,40;44 534 392,40;Financials;6709099;ID1000118201;Indonesia Stock Exchange;Indonesia;USD;IDR;14 165,00
055550;SHINHAN FINANCIAL GROUP LTD;Equity;0,20;25,88;1 708 748,00;44 216 232,10;44 216 232,10;Financials;6397502;KR7055550008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1216;UNI-PRESIDENT ENTERPRISES CORP;Equity;0,20;2,43;18 126 839,00;43 998 665,27;43 998 665,27;Consumer Staples;6700393;TW0001216000;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
PBBANK;PUBLIC BANK;Equity;0,20;3,94;11 146 530,00;43 880 891,39;43 880 891,39;Financials;B012W42;MYL1295OO004;Bursa Malaysia;Malaysia;USD;MYR;4,27
1303;NAN YA PLASTICS CORP;Equity;0,20;2,20;19 623 160,00;43 198 339,62;43 198 339,62;Materials;6621580;TW0001303006;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
005490;POSCO;Equity;0,20;154,93;277 746,00;43 030 095,53;43 030 095,53;Materials;6693233;KR7005490008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
2886;MEGA FINANCIAL HOLDING LTD;Equity;0,20;1,06;40 295 162,00;42 790 601,19;42 790 601,19;Financials;6444066;TW0002886009;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
012330;HYUNDAI MOBIS LTD;Equity;0,20;171,12;249 814,00;42 749 363,68;42 749 363,68;Consumer Discretionary;6449544;KR7012330007;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
036570;NCSOFT CORP;Equity;0,20;684,50;62 041,00;42 467 007,81;42 467 007,81;Communication;6264189;KR7036570000;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1301;FORMOSA PLASTICS CORP;Equity;0,20;2,91;14 579 280,00;42 465 353,88;42 465 353,88;Materials;6348544;TW0001301000;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
105560;KB FINANCIAL GROUP INC;Equity;0,19;28,78;1 473 883,00;42 424 028,87;42 424 028,87;Financials;B3DF0Y6;KR7105560007;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
AXISBANK;AXIS BANK LTD;Equity;0,19;5,38;7 867 688,00;42 319 194,54;42 319 194,54;Financials;BPFJHC7;INE238A01034;National Stock Exchange Of India;India;USD;INR;75,85
1918;SUNAC CHINA HOLDINGS LTD;Equity;0,19;4,45;9 484 000,00;42 218 552,02;42 218 552,02;Real Estate;B4XRPN3;KYG8569A1067;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
207940;SAMSUNG BIOLOGICS LTD;Equity;0,19;668,72;62 202,00;41 595 456,06;41 595 456,06;Health Care;BYNJCV6;KR7207940008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
