12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
386;CHINA PETROLEUM AND CHEMICAL CORP;Equity;0,27;0,44;2 980 600,00;1 311 447,08;1 311 447,08;Energy;6291819;CNE1000002Q2;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
1918;SUNAC CHINA HOLDINGS LTD;Equity;0,27;4,45;292 000,00;1 299 854,20;1 299 854,20;Real Estate;B4XRPN3;KYG8569A1067;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
TLKM;TELEKOMUNIKASI INDONESIA;Equity;0,27;0,21;6 032 000,00;1 290 290,15;1 290 290,15;Communication;BD4T6W7;ID1000129000;Indonesia Stock Exchange;Indonesia;USD;IDR;14 165,00
2319;CHINA MENGNIU DAIRY LTD;Equity;0,27;3,82;334 000,00;1 275 648,06;1 275 648,06;Consumer Staples;B01B1L9;KYG210961051;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2882;CATHAY FINANCIAL HOLDING LTD;Equity;0,26;1,37;922 624,00;1 265 913,66;1 265 913,66;Financials;6425663;TW0002882008;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
051900;LG HOUSEHOLD & HEALTH CARE LTD;Equity;0,26;1 100,68;1 142,00;1 256 977,90;1 256 977,90;Consumer Staples;6344456;KR7051900009;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
2308;DELTA ELECTRONICS INC;Equity;0,26;5,23;238 000,00;1 243 636,85;1 243 636,85;Information Technology;6260734;TW0002308004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
2382;SUNNY OPTICAL TECHNOLOGY LTD;Equity;0,26;14,17;86 500,00;1 225 493,86;1 225 493,86;Information Technology;B1YBT08;KYG8586D1097;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2884;E.SUN FINANCIAL HOLDING LTD;Equity;0,25;0,93;1 281 769,00;1 194 785,18;1 194 785,18;Financials;6433912;TW0002884004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
2007;COUNTRY GARDEN HOLDINGS LTD;Equity;0,24;1,28;908 828,00;1 159 766,83;1 159 766,83;Real Estate;B1VKYN6;KYG245241032;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
