12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
YUM;YUM BRANDS INC;Equity;0,15;91,28;885 037,00;80 786 177,36;80 786 177,36;Consumer Discretionary;2098876;US9884981013;New York Stock Exchange Inc.
ROK;ROCKWELL AUTOMATION INC;Equity;0,15;208,19;378 443,00;78 788 048,17;78 788 048,17;Industrials;2754060;US7739031091;New York Stock Exchange Inc.
DOCU;DOCUSIGN INC;Equity;0,15;150,60;519 756,00;78 275 253,60;78 275 253,60;Information Technology;BFYT7B7;US2561631068;NASDAQ
PAYX;PAYCHEX INC;Equity;0,15;73,76;1 055 933,00;77 885 618,08;77 885 618,08;Information Technology;2674458;US7043261079;NASDAQ
TWLO;TWILIO INC CLASS A;Equity;0,15;191,89;402 973,00;77 326 488,97;77 326 488,97;Information Technology;BD6P5Q0;US90138F1021;New York Stock Exchange Inc.
SPOT;SPOTIFY TECHNOLOGY SA;Equity;0,15;180,07;427 209,00;76 927 524,63;76 927 524,63;Communication;BFZ1K46;LU1778762911;New York Stock Exchange Inc.
MCD;MCDONALDS CORP;Equity;0,14;189,17;399 414,00;75 557 146,38;75 557 146,38;Consumer Discretionary;2550707;US5801351017;New York Stock Exchange Inc.
RMD;RESMED INC;Equity;0,14;160,69;466 705,00;74 994 826,45;74 994 826,45;Health Care;2732903;US7611521078;New York Stock Exchange Inc.
XLNX;XILINX INC;Equity;0,14;90,70;819 288,00;74 309 421,60;74 309 421,60;Information Technology;2985677;US9839191015;NASDAQ
ANSS;ANSYS INC;Equity;0,14;270,27;274 753,00;74 257 493,31;74 257 493,31;Information Technology;2045623;US03662Q1058;NASDAQ
CTAS;CINTAS CORP;Equity;0,14;266,20;278 538,00;74 146 815,60;74 146 815,60;Industrials;2197137;US1729081059;NASDAQ
FLT;FLEETCOR TECHNOLOGIES INC;Equity;0,14;258,99;280 258,00;72 584 019,42;72 584 019,42;Information Technology;B4R28B3;US3390411052;New York Stock Exchange Inc.
BLL;BALL CORP;Equity;0,14;68,33;1 061 666,00;72 543 637,78;72 543 637,78;Materials;2073022;US0584981064;New York Stock Exchange Inc.
PSA;PUBLIC STORAGE REIT;Equity;0,14;196,47;368 593,00;72 417 466,71;72 417 466,71;Real Estate;2852533;US74460D1090;New York Stock Exchange Inc.
HUM;HUMANA INC;Equity;0,13;378,72;186 783,00;70 738 457,76;70 738 457,76;Health Care;2445063;US4448591028;New York Stock Exchange Inc.
LHX;L3HARRIS TECHNOLOGIES INC;Equity;0,13;193,15;365 405,00;70 577 975,75;70 577 975,75;Industrials;BK9DTN5;US5024311095;New York Stock Exchange Inc.
CI;CIGNA CORP;Equity;0,13;190,02;369 071,00;70 130 871,42;70 130 871,42;Health Care;BHJ0775;US1255231003;New York Stock Exchange Inc.
HLT;HILTON WORLDWIDE HOLDINGS INC;Equity;0,13;77,45;898 811,00;69 612 911,95;69 612 911,95;Consumer Discretionary;BYVMW06;US43300A2033;New York Stock Exchange Inc.
